[2026-03-15T17:02:39.623Z] [INFO] [Init] better-sqlite3 native module loaded successfully
[2026-03-15T17:02:39.629Z] [WARN] [Encryption] keytar not available for Credential Manager, using file-based key | DATA: Cannot find module 'keytar'
Require stack:
- C:\Program Files\Cloud POS\Cloud POS\resources\app.asar\electron\offline-database.cjs
- C:\Program Files\Cloud POS\Cloud POS\resources\app.asar\electron\main.cjs
- 
[2026-03-15T17:02:39.633Z] [WARN] [Encryption] better-sqlite3 not compiled with SQLCipher. To enable encryption, rebuild with: npm rebuild better-sqlite3 --build-from-source --sqlite3=sqlcipher
[2026-03-15T17:02:39.664Z] [INFO] [Init] SQLite database initialized | DATA: C:\Users\DG\AppData\Local\Cloud POS\data\offline.db
[2026-03-15T17:02:39.665Z] [INFO] [Init] Encryption: DISABLED (build with SQLCipher to enable)
[2026-03-15T17:02:40.294Z] [INFO] [Sync] Starting full sync from cloud...
[2026-03-15T17:02:44.504Z] [INFO] [Sync] Sync complete. 56 tables synced, 0 errors
[2026-03-15T17:02:44.872Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:02:49.878Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:02:54.890Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:02:59.891Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:03:04.899Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:03:09.906Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:03:16.286Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:03:21.301Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:03:26.306Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:03:31.309Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:03:36.316Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:03:41.319Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:03:46.327Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:03:51.339Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:03:56.351Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:04:01.357Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:04:06.372Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:04:11.381Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:04:16.390Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:04:21.391Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:04:26.400Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:04:31.404Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:04:36.406Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:04:41.420Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:04:46.419Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:04:51.426Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
[2026-03-15T17:04:56.435Z] [DEBUG] [Sync] 2 non-check op(s) waiting for backoff retry
